,price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed
147,28250,2017.0,chevrolet silverado 1500,excellent,8.0,gas,13808.0,automatic,truck,white,1.0,2018-08-17,11
148,6995,2004.0,ford expedition,excellent,8.0,gas,92546.0,automatic,SUV,blue,1.0,2018-05-23,18
150,28975,2017.0,chevrolet silverado 1500,excellent,8.0,gas,8354.0,automatic,truck,black,1.0,2019-01-07,13
151,14995,2011.0,jeep wrangler,excellent,6.0,gas,118371.0,automatic,SUV,orange,1.0,2019-01-25,49
153,12990,2011.0,ford expedition,good,8.0,gas,124775.0,automatic,SUV,custom,1.0,2018-06-11,50
160,31800,2018.0,chevrolet silverado 1500 crew,good,8.0,gas,22838.0,automatic,pickup,white,1.0,2019-01-29,29
171,9850,2008.0,chevrolet silverado 1500,good,8.0,gas,182225.0,automatic,truck,blue,1.0,2018-08-15,36
174,5995,2006.0,ford ranger,good,6.0,gas,148600.0,automatic,truck,silver,1.0,2018-11-10,35
177,31400,2016.0,chevrolet silverado 1500 crew,good,8.0,gas,15070.0,automatic,pickup,black,1.0,2019-01-17,64
178,24200,2018.0,nissan frontier crew cab sv,good,6.0,gas,11034.0,other,pickup,blue,1.0,2018-06-29,9
182,11950,2003.0,jeep wrangler,excellent,6.0,gas,97211.0,automatic,SUV,custom,1.0,2018-08-01,15
183,16950,2010.0,jeep wrangler,excellent,6.0,gas,85490.0,other,SUV,red,1.0,2018-12-26,29
187,15000,2009.0,toyota tacoma,excellent,6.0,gas,221000.0,automatic,truck,black,1.0,2019-02-20,30
188,52000,2008.0,ford f350 super duty,good,8.0,diesel,117500.0,automatic,truck,grey,1.0,2018-06-27,24
191,3950,2009.0,subaru impreza,excellent,4.0,gas,137882.0,automatic,hatchback,silver,1.0,2018-08-22,19
192,5295,2005.0,ford f-150,good,8.0,gas,225000.0,automatic,pickup,white,1.0,2018-06-19,15
197,10000,2006.0,ford f-150,excellent,8.0,gas,181000.0,automatic,truck,silver,1.0,2018-07-17,9
198,17999,2008.0,gmc sierra 2500hd,excellent,8.0,diesel,101959.0,automatic,truck,white,1.0,2018-05-06,46
202,28200,2012.0,ford f-350 sd,excellent,8.0,diesel,129000.0,automatic,truck,black,1.0,2018-07-15,30
204,22914,2015.0,bmw x5,excellent,6.0,gas,69686.0,automatic,SUV,white,1.0,2018-08-11,19
205,19900,2013.0,ford f-150,excellent,6.0,gas,79657.0,automatic,truck,silver,1.0,2018-10-30,42
207,24495,2016.0,ford explorer,excellent,6.0,gas,50123.0,automatic,SUV,white,1.0,2018-11-17,49
209,22900,2015.0,gmc sierra 1500,excellent,8.0,gas,85190.0,automatic,truck,custom,1.0,2018-05-15,24
210,14685,2011.0,toyota tacoma,excellent,6.0,gas,145671.0,automatic,truck,black,1.0,2019-01-03,8
211,24869,2015.0,gmc sierra 1500,excellent,8.0,gas,82056.0,automatic,truck,black,1.0,2019-03-20,23
214,7800,2012.0,chevrolet traverse,good,6.0,gas,157000.0,automatic,SUV,blue,1.0,2018-11-30,4
221,10800,2015.0,toyota camry,excellent,4.0,gas,28150.0,automatic,sedan,black,1.0,2018-09-25,24
223,7995,2008.0,jeep grand cherokee,excellent,6.0,gas,104613.0,automatic,SUV,silver,1.0,2018-05-23,23
224,22500,2013.0,ford f-250 sd,good,8.0,gas,128415.0,automatic,truck,green,1.0,2019-03-03,32
229,6995,2011.0,hyundai sonata,excellent,4.0,gas,117371.0,automatic,sedan,grey,1.0,2019-02-26,20
233,25800,2015.0,toyota tacoma,like new,6.0,gas,49900.0,automatic,pickup,white,1.0,2018-07-24,39
240,6500,2009.0,ford f-250,good,8.0,gas,113000.0,automatic,pickup,white,1.0,2018-09-09,19
242,1500,2001.0,jeep grand cherokee,good,6.0,gas,185000.0,automatic,SUV,black,1.0,2018-10-15,56
243,9799,2017.0,nissan altima,excellent,4.0,gas,51153.0,automatic,sedan,silver,1.0,2018-06-23,35
245,5700,2002.0,chevrolet silverado 1500,good,8.0,gas,105000.0,automatic,pickup,silver,1.0,2018-06-17,68
251,3750,2007.0,jeep grand cherokee laredo,fair,6.0,gas,131800.0,automatic,SUV,grey,1.0,2018-06-29,50
253,7995,2011.0,subaru forester,good,4.0,gas,112000.0,automatic,SUV,blue,1.0,2019-02-12,53
256,9100,2014.0,kia sorento,good,4.0,gas,100100.0,automatic,SUV,silver,1.0,2018-08-30,74
264,13889,2005.0,gmc sierra 2500hd,good,8.0,gas,95914.0,automatic,truck,custom,1.0,2018-07-13,37
267,3250,2001.0,ford f150,fair,8.0,gas,296000.0,automatic,truck,black,1.0,2018-12-07,24
268,28200,2012.0,ford f-350 sd,excellent,8.0,diesel,129000.0,automatic,truck,black,1.0,2018-09-26,28
271,22914,2015.0,bmw x5,excellent,6.0,gas,69686.0,automatic,SUV,white,1.0,2018-07-07,9
273,19900,2013.0,ford f-150,excellent,6.0,gas,79657.0,automatic,truck,silver,1.0,2019-03-01,4
275,24869,2015.0,gmc sierra 1500,excellent,8.0,gas,82056.0,automatic,truck,black,1.0,2018-06-29,22
282,10900,2012.0,toyota tacoma,excellent,4.0,gas,132000.0,manual,pickup,red,1.0,2018-10-10,46
286,35999,2015.0,ram 2500,good,6.0,diesel,157558.0,automatic,truck,grey,1.0,2018-12-13,59
288,28999,2012.0,ram 2500,good,6.0,diesel,146875.0,automatic,truck,silver,1.0,2018-07-22,51
289,32999,2012.0,ram 3500,good,6.0,diesel,126201.0,automatic,truck,silver,1.0,2018-10-26,58
290,7800,2010.0,nissan frontier,excellent,6.0,gas,160266.0,automatic,truck,red,1.0,2018-08-06,55
291,14999,2016.0,honda cr-v,excellent,4.0,gas,32000.0,automatic,SUV,grey,1.0,2018-08-10,66
292,19999,2015.0,gmc sierra,excellent,8.0,gas,43000.0,automatic,truck,white,1.0,2019-04-01,63
295,15600,2016.0,subaru outback,excellent,4.0,gas,106700.0,automatic,wagon,black,1.0,2018-05-08,40
301,14999,2013.0,ford f-150,good,6.0,gas,52520.0,automatic,truck,white,1.0,2018-05-02,23
307,24900,2016.0,chevrolet silverado 1500,excellent,8.0,gas,32000.0,automatic,truck,silver,1.0,2019-01-29,5
313,12750,2011.0,gmc sierra 2500hd,good,8.0,gas,226000.0,automatic,truck,white,1.0,2018-10-28,29
320,5500,2017.0,ford explorer,excellent,6.0,gas,25000.0,automatic,SUV,grey,1.0,2019-03-01,10
323,30000,2015.0,jeep wrangler unlimited,excellent,6.0,gas,13365.0,automatic,SUV,white,1.0,2019-03-28,31
324,15250,2011.0,ford f-150,excellent,8.0,gas,97000.0,automatic,truck,grey,1.0,2019-03-30,37
329,4500,2009.0,jeep liberty,good,6.0,gas,171000.0,automatic,SUV,black,1.0,2019-01-23,16
333,5900,2007.0,ram 2500,good,8.0,gas,229000.0,automatic,pickup,white,1.0,2018-07-10,61
340,12995,2009.0,chevrolet suburban,excellent,8.0,gas,157976.0,automatic,SUV,white,1.0,2018-12-17,32
343,4000,2005.0,honda pilot,excellent,6.0,gas,167000.0,automatic,SUV,red,1.0,2018-05-12,8
348,1900,1999.0,ford ranger,excellent,6.0,gas,191135.0,automatic,truck,yellow,1.0,2018-08-02,26
349,5999,2002.0,bmw x5,excellent,6.0,gas,153000.0,automatic,SUV,white,1.0,2018-05-23,82
352,7997,2009.0,gmc yukon,excellent,8.0,gas,0.0,automatic,SUV,white,1.0,2019-03-16,88
353,28000,2017.0,chevrolet silverado,like new,8.0,gas,53000.0,automatic,truck,white,1.0,2019-01-17,91
355,25000,2015.0,chevrolet silverado,good,8.0,gas,150000.0,automatic,truck,white,1.0,2019-03-08,75
356,4000,2002.0,ford escape,good,6.0,gas,98000.0,automatic,SUV,silver,1.0,2019-01-27,11
359,12500,2017.0,subaru impreza,like new,4.0,gas,25000.0,automatic,wagon,grey,1.0,2019-02-18,78
366,34275,2018.0,jeep wrangler,good,6.0,gas,27403.0,automatic,SUV,black,1.0,2018-12-23,11
367,11675,2012.0,gmc acadia,good,6.0,gas,113417.0,automatic,SUV,white,1.0,2018-11-16,39
368,24995,2016.0,subaru outback,good,6.0,gas,32889.0,automatic,SUV,grey,1.0,2018-11-06,48
372,15900,2011.0,jeep wrangler,good,6.0,gas,163943.0,automatic,SUV,black,1.0,2018-07-04,61
374,4975,2010.0,ford explorer,good,6.0,gas,55486.0,automatic,SUV,blue,1.0,2018-08-09,108
375,5500,2001.0,nissan frontier,good,6.0,gas,125000.0,manual,pickup,black,1.0,2019-01-20,11
377,19500,2010.0,ford f-150,good,8.0,gas,64200.0,automatic,truck,custom,1.0,2019-01-16,52
378,24998,2006.0,chevrolet silverado 2500hd,excellent,8.0,diesel,181787.0,automatic,truck,black,1.0,2019-04-05,94
379,6995,2011.0,nissan rogue,excellent,4.0,gas,118802.0,automatic,SUV,blue,1.0,2018-11-11,23
385,27995,2017.0,chevrolet silverado 1500,excellent,8.0,gas,72965.0,automatic,truck,black,1.0,2018-07-23,42
388,10995,2007.0,chevrolet tahoe,good,8.0,gas,162999.0,automatic,SUV,grey,1.0,2018-11-09,24
390,19500,2014.0,ford f-150,excellent,6.0,gas,95000.0,automatic,truck,blue,1.0,2018-09-06,84
391,8600,2013.0,kia sorento,good,4.0,gas,110367.0,automatic,SUV,blue,1.0,2018-10-12,7
398,14900,2008.0,jeep wrangler,good,6.0,gas,149167.0,automatic,SUV,custom,1.0,2019-01-06,18
400,22975,2012.0,ram 2500,excellent,6.0,diesel,119546.0,automatic,pickup,white,1.0,2019-01-24,34
401,9500,2005.0,jeep wrangler,excellent,6.0,gas,151000.0,automatic,SUV,silver,1.0,2019-03-18,32
412,9950,2009.0,bmw x5,excellent,6.0,gas,105621.0,automatic,SUV,silver,1.0,2018-11-12,30
417,21900,2017.0,jeep wrangler unlimited,good,6.0,gas,37873.0,manual,SUV,blue,1.0,2018-06-07,15
422,14900,2017.0,nissan frontier,good,6.0,gas,25462.0,automatic,pickup,grey,1.0,2018-09-01,30
426,12900,2017.0,nissan frontier,good,6.0,gas,34096.0,automatic,pickup,black,1.0,2019-03-01,9
430,8995,2014.0,chevrolet equinox,excellent,6.0,gas,178490.0,automatic,SUV,silver,1.0,2019-01-10,6
434,47995,2018.0,jeep wrangler unlimited,good,6.0,gas,22824.0,manual,SUV,black,1.0,2018-05-07,21
438,16499,2014.0,jeep cherokee,excellent,6.0,gas,117357.0,automatic,SUV,blue,1.0,2019-03-23,27
445,13500,2004.0,gmc sierra 2500hd,excellent,8.0,gas,177000.0,automatic,truck,grey,1.0,2018-10-09,37
447,5500,2005.0,ram 2500,good,8.0,gas,211000.0,automatic,pickup,white,1.0,2019-02-07,39
449,4995,2001.0,subaru forester,excellent,4.0,gas,109021.0,automatic,SUV,grey,1.0,2019-04-06,53
451,8995,2009.0,buick enclave,excellent,6.0,gas,124567.0,automatic,SUV,purple,1.0,2018-06-10,25
456,3995,2001.0,bmw x5,excellent,8.0,gas,190108.0,automatic,SUV,white,1.0,2019-02-27,60
457,18000,2006.0,ram 3500,good,6.0,diesel,169847.0,automatic,truck,silver,1.0,2019-04-14,69
461,27000,2015.0,ram 2500,excellent,8.0,gas,62500.0,automatic,truck,blue,1.0,2019-04-03,120
468,29667,2013.0,ford f-150,excellent,8.0,gas,41350.0,automatic,pickup,black,1.0,2019-03-04,15
471,21900,2013.0,ford f-250 sd,good,6.0,diesel,243000.0,automatic,truck,white,1.0,2018-06-14,5
474,18998,2011.0,ram 3500,good,6.0,diesel,245000.0,automatic,pickup,red,1.0,2019-03-25,23
484,30900,2013.0,gmc sierra 2500hd,good,8.0,diesel,105808.0,automatic,truck,white,1.0,2018-11-18,51
487,11995,2009.0,chevrolet silverado 1500,good,8.0,gas,142498.0,automatic,pickup,grey,1.0,2019-01-29,28
499,14900,2014.0,jeep grand cherokee laredo,good,6.0,gas,30235.0,automatic,SUV,brown,1.0,2018-07-22,49
501,6300,2003.0,toyota rav4,excellent,4.0,gas,107.0,automatic,SUV,red,1.0,2018-09-16,24
503,25000,2010.0,ram 3500,good,6.0,diesel,212762.0,automatic,truck,silver,1.0,2018-06-09,11
505,32000,2017.0,chevrolet silverado,like new,8.0,gas,29613.0,automatic,truck,white,1.0,2019-04-08,74
516,21999,2005.0,ram 2500,good,6.0,diesel,99784.0,automatic,truck,black,1.0,2018-10-09,44
519,5500,2012.0,nissan frontier,salvage,6.0,gas,120000.0,automatic,truck,white,1.0,2018-05-20,9
527,19988,2011.0,jeep wrangler,good,6.0,gas,116049.0,manual,SUV,white,1.0,2018-10-26,13
532,19988,2010.0,gmc sierra 1500,good,8.0,gas,183917.0,automatic,truck,black,1.0,2019-02-16,54
536,46988,2018.0,ford f-250 sd,good,8.0,gas,18312.0,automatic,truck,white,1.0,2018-07-08,16
542,13990,2006.0,chevrolet silverado 2500hd,excellent,8.0,diesel,175192.0,automatic,pickup,grey,1.0,2018-05-08,27
543,9700,2004.0,chevrolet silverado 2500hd,excellent,8.0,gas,147888.0,automatic,truck,blue,1.0,2018-05-20,49
545,35988,2016.0,ford f-350 sd,good,8.0,diesel,182079.0,automatic,truck,black,1.0,2018-12-31,34
548,35000,2013.0,chevrolet silverado,good,8.0,diesel,85000.0,automatic,truck,white,1.0,2018-09-14,17
549,7800,1997.0,toyota tacoma,good,6.0,gas,212234.0,automatic,truck,white,1.0,2018-06-28,89
553,2000,2007.0,jeep liberty,fair,8.0,gas,128000.0,automatic,SUV,red,1.0,2018-10-13,11
554,8990,2008.0,chevrolet colorado,excellent,5.0,gas,120477.0,automatic,pickup,black,1.0,2018-08-07,78
562,19900,2011.0,gmc yukon,excellent,8.0,gas,82563.0,automatic,SUV,white,1.0,2019-03-11,30
568,10700,2007.0,chevrolet silverado 1500,excellent,8.0,gas,170304.0,automatic,truck,red,1.0,2019-01-20,48
569,7900,2001.0,jeep wrangler,excellent,4.0,gas,231089.0,manual,SUV,yellow,1.0,2018-11-28,128
571,7900,2015.0,volkswagen jetta,like new,4.0,gas,82000.0,automatic,sedan,black,1.0,2019-01-17,12
578,6500,1998.0,jeep wrangler,excellent,4.0,gas,94000.0,automatic,SUV,white,1.0,2018-07-03,20
583,25495,2017.0,chevrolet silverado,excellent,6.0,gas,89884.0,automatic,truck,white,1.0,2019-02-26,10
584,14995,2007.0,chevrolet silverado 2500hd,good,8.0,gas,100064.0,automatic,pickup,black,1.0,2018-08-19,11
587,4900,2010.0,ford escape,excellent,6.0,gas,125000.0,automatic,SUV,blue,1.0,2019-03-22,36
591,12995,2013.0,chevrolet suburban,excellent,8.0,gas,187356.0,automatic,SUV,silver,1.0,2018-05-21,21
597,15750,2016.0,ford fusion,excellent,4.0,gas,41272.0,automatic,sedan,silver,1.0,2019-04-15,10
598,13000,2011.0,honda pilot,excellent,6.0,gas,123048.0,automatic,SUV,grey,1.0,2018-07-19,3
599,18500,2018.0,ford escape,excellent,4.0,gas,36130.0,automatic,SUV,white,1.0,2018-07-15,71
603,12900,2006.0,jeep wrangler,good,6.0,gas,147555.0,automatic,SUV,white,1.0,2018-08-19,12
604,13750,2017.0,ford escape,excellent,4.0,gas,88136.0,automatic,SUV,white,1.0,2018-10-15,48
608,5900,2007.0,jeep grand cherokee laredo,excellent,6.0,gas,147620.0,automatic,SUV,black,1.0,2018-12-28,65
611,5500,2011.0,subaru impreza,good,4.0,gas,140312.0,automatic,sedan,red,1.0,2019-04-15,48
612,16000,2013.0,ford f-150,excellent,6.0,gas,83000.0,automatic,truck,blue,1.0,2018-05-26,41
615,8500,2005.0,chevrolet silverado 1500,excellent,8.0,gas,151366.0,automatic,pickup,red,1.0,2018-09-03,39
620,13995,2013.0,toyota highlander,excellent,6.0,gas,110701.0,automatic,SUV,white,1.0,2019-02-09,43
622,35900,2018.0,jeep wrangler unlimited,excellent,4.0,gas,17941.0,automatic,SUV,grey,1.0,2018-06-18,22
624,26900,2015.0,toyota tacoma,excellent,6.0,gas,53390.0,automatic,truck,blue,1.0,2018-08-25,33
631,22500,2014.0,ford f-150,excellent,6.0,gas,95382.0,automatic,pickup,grey,1.0,2019-02-22,33
636,21750,2014.0,toyota tacoma,excellent,6.0,gas,99246.0,automatic,pickup,grey,1.0,2019-02-21,34
637,15495,2010.0,gmc sierra 1500,good,10.0,gas,150807.0,automatic,truck,white,1.0,2019-04-10,24
641,17000,2011.0,chevrolet silverado 1500,excellent,8.0,gas,99325.0,automatic,pickup,black,1.0,2019-01-03,21
652,17000,2008.0,gmc sierra,like new,8.0,gas,160000.0,automatic,pickup,silver,1.0,2018-10-27,21
655,1999,2007.0,honda pilot,good,6.0,gas,288000.0,automatic,SUV,custom,1.0,2018-12-18,83
656,7999,2012.0,chevrolet equinox,excellent,6.0,gas,148000.0,automatic,SUV,custom,1.0,2018-06-12,76
657,7900,2001.0,ford f-250,excellent,10.0,gas,71000.0,automatic,truck,silver,1.0,2018-12-02,23
658,14000,2003.0,ford f250 super duty,excellent,8.0,diesel,259000.0,automatic,pickup,red,1.0,2018-11-13,33
661,10500,2016.0,chevrolet equinox,like new,4.0,gas,120000.0,automatic,SUV,grey,1.0,2018-07-27,51
662,24995,2016.0,ram 1500,excellent,8.0,gas,24909.0,automatic,pickup,white,1.0,2018-12-28,13
665,27995,2016.0,ram 1500,excellent,8.0,gas,26301.0,automatic,pickup,black,1.0,2018-06-17,81
669,4995,2007.0,hyundai santa fe,good,6.0,gas,143000.0,automatic,SUV,blue,1.0,2019-01-05,23
670,6750,2010.0,subaru forester,excellent,4.0,gas,106000.0,automatic,SUV,white,1.0,2019-02-23,35
671,20995,2017.0,ford f-150,excellent,6.0,gas,131689.0,automatic,pickup,black,1.0,2019-01-16,16
672,10000,2000.0,jeep cherokee,excellent,6.0,gas,75000.0,automatic,SUV,green,1.0,2019-03-04,49
678,8400,2008.0,ford escape,good,4.0,gas,105317.0,automatic,hatchback,silver,1.0,2018-12-09,4
681,24900,2014.0,ford f-150,excellent,8.0,gas,38916.0,automatic,truck,black,1.0,2018-10-25,38
685,6800,2010.0,honda cr-v,excellent,4.0,gas,173000.0,automatic,SUV,blue,1.0,2019-03-22,16
687,10900,1999.0,ford f350 super duty,excellent,8.0,diesel,155000.0,automatic,pickup,blue,1.0,2018-11-20,22
688,26995,2016.0,chevrolet silverado,like new,8.0,gas,36645.0,automatic,pickup,white,1.0,2018-09-01,152
694,29995,2018.0,ford f-150,excellent,6.0,gas,32551.0,automatic,pickup,red,1.0,2019-01-30,12
698,21995,2018.0,nissan rogue,like new,4.0,gas,28003.0,automatic,SUV,white,1.0,2018-05-02,60
700,21995,2017.0,chevrolet traverse,excellent,6.0,gas,29004.0,automatic,SUV,black,1.0,2018-12-26,23
702,38900,2017.0,ford f-250 super duty,excellent,8.0,gas,72796.0,automatic,truck,white,1.0,2018-12-24,32
703,18900,2015.0,ford f250,excellent,8.0,gas,145053.0,automatic,truck,silver,1.0,2019-01-14,34
704,27995,2014.0,ram 3500,excellent,8.0,gas,142083.0,automatic,truck,white,1.0,2018-07-09,26
710,16000,2013.0,ford f-150,excellent,6.0,gas,83000.0,automatic,truck,blue,1.0,2018-11-18,19
711,10495,2006.0,ford f-150,excellent,8.0,gas,117560.0,automatic,pickup,custom,1.0,2018-11-12,51
712,10495,2008.0,toyota 4runner,excellent,6.0,gas,168567.0,automatic,other,blue,1.0,2019-01-10,9
715,15500,2013.0,chevrolet silverado 1500,excellent,8.0,gas,144261.0,automatic,truck,white,1.0,2019-01-01,38
716,18900,2012.0,ram 2500,excellent,8.0,gas,118571.0,automatic,truck,white,1.0,2018-08-20,27
718,12000,2007.0,gmc sierra,excellent,8.0,gas,209000.0,automatic,truck,grey,1.0,2018-08-24,41
719,38500,2016.0,ram 2500,excellent,6.0,diesel,118500.0,automatic,truck,black,1.0,2019-02-15,8
727,14900,2012.0,honda cr-v,excellent,4.0,gas,41250.0,automatic,SUV,silver,1.0,2018-06-29,41
732,6750,2007.0,ram 1500,good,8.0,gas,168.0,automatic,pickup,brown,1.0,2018-06-15,29
734,37500,2017.0,ram 2500,excellent,6.0,diesel,49000.0,automatic,truck,black,1.0,2019-01-09,71
738,38900,2017.0,ram 2500,like new,6.0,diesel,74100.0,automatic,truck,grey,1.0,2018-12-23,41
741,4500,1995.0,chevrolet silverado 1500,good,8.0,gas,170220.0,manual,pickup,white,1.0,2019-01-07,70
743,7950,2011.0,subaru outback,good,4.0,gas,86000.0,automatic,SUV,black,1.0,2018-07-01,24
746,31000,2018.0,jeep wrangler unlimited,excellent,6.0,gas,28400.0,automatic,other,silver,1.0,2018-05-13,75
747,2350,1997.0,ford f-150,good,6.0,gas,134000.0,automatic,truck,red,1.0,2019-02-03,14
748,11500,2011.0,honda pilot,like new,6.0,gas,122000.0,automatic,SUV,black,1.0,2019-03-11,31
750,26700,2015.0,ford f150 supercrew cab xlt,good,6.0,gas,48278.0,other,pickup,brown,1.0,2019-04-14,51
754,5500,2011.0,subaru impreza,good,4.0,gas,140312.0,automatic,sedan,red,1.0,2018-08-14,22
760,36995,2016.0,chevrolet silverado,like new,8.0,gas,20567.0,automatic,pickup,brown,1.0,2018-09-29,73
761,6900,2002.0,toyota tundra,excellent,8.0,gas,215500.0,automatic,truck,red,1.0,2018-06-10,8
762,10900,2007.0,toyota 4runner,excellent,8.0,gas,180252.0,automatic,SUV,white,1.0,2019-02-22,23
769,8500,2006.0,ford f-250,good,8.0,gas,151224.0,automatic,truck,grey,1.0,2018-11-16,4
770,14556,2009.0,gmc sierra 1500,good,8.0,gas,186168.0,automatic,pickup,grey,1.0,2018-12-15,45
771,26000,2013.0,chevrolet silverado 2500hd,good,8.0,diesel,73000.0,automatic,truck,black,1.0,2018-08-28,48
772,4900,2005.0,ram 1500,good,8.0,gas,156000.0,automatic,truck,blue,1.0,2018-10-19,27
773,5995,2006.0,jeep liberty,excellent,4.0,diesel,230604.0,automatic,SUV,green,1.0,2018-11-23,106
774,6995,2004.0,ford f-150,excellent,8.0,gas,141131.0,automatic,truck,green,1.0,2018-09-28,55
780,19791,2014.0,toyota 4runner,excellent,6.0,gas,186371.0,automatic,SUV,white,1.0,2018-08-19,37
784,9500,2007.0,ram 1500,excellent,8.0,gas,121118.0,automatic,pickup,blue,1.0,2018-11-30,36
785,3895,2004.0,jeep grand cherokee laredo,good,6.0,gas,176389.0,automatic,SUV,brown,1.0,2018-07-06,80
787,1000,1999.0,chevrolet silverado,fair,8.0,gas,200000.0,automatic,pickup,brown,1.0,2018-08-16,12
789,2000,1994.0,toyota 4runner,fair,6.0,gas,241000.0,automatic,SUV,blue,1.0,2018-10-25,58
790,27925,2015.0,ford f-150,excellent,6.0,gas,18326.0,automatic,truck,silver,1.0,2018-08-14,40
